table_name,column_name,column_type
wagtailredirects_redirect,old_path,string
wagtailredirects_redirect,is_permanent,num
wagtailredirects_redirect,redirect_link,string
wagtailredirects_redirect,redirect_page_id,num
wagtailredirects_redirect,site_id,num
wagtailsearch_editorspick,id,num
wagtailsearch_editorspick,sort_order,num
wagtailsearch_editorspick,description,string
wagtailsearch_editorspick,page_id,num
wagtailsearch_editorspick,query_id,num
wagtailsearch_query,id,num
wagtailsearch_query,query_string,string
wagtailsearch_querydailyhits,id,num
wagtailsearch_querydailyhits,date,date
wagtailsearch_querydailyhits,hits,num
wagtailsearch_querydailyhits,query_id,num
wagtailusers_userprofile,id,num
wagtailusers_userprofile,submitted_notifications,num
wagtailusers_userprofile,approved_notifications,num
wagtailusers_userprofile,rejected_notifications,num
wagtailusers_userprofile,user_id,num
wagtailusers_userprofile,preferred_language,string
wagtailusers_userprofile,current_time_zone,string
wagtailusers_userprofile,avatar,string
