id	generalized_template	count
40	SELECT COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	17
41	SELECT variable FROM variable WHERE variable LIKE variable	16
42	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	16
43	SELECT DISTINCT variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	16
44	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable AND variable = variable	16
45	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable;	15
46	SELECT DISTINCT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	15
47	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable ORDER BY variable DESC LIMIT variable	15
48	SELECT COUNT(variable) FROM variable WHERE variable LIKE variable	14
49	SELECT COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable > variable	14
50	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable > variable	14
51	SELECT variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	14
52	SELECT variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable ORDER BY variable DESC LIMIT variable	13
53	SELECT CAST(SUM(CASE WHEN variable = variable THEN variable ELSE variable END) AS variable) * variable / COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	13
54	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable ORDER BY variable ASC LIMIT variable	12
55	SELECT SUM(CASE WHEN variable = variable THEN variable ELSE variable END) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	12
56	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = ( SELECT MAX(variable) FROM variable )	12
57	SELECT DISTINCT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	12
58	SELECT variable, variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	12
59	SELECT DISTINCT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable > variable	11
60	SELECT CAST(SUM(variable(variable = variable, variable, variable)) AS variable) * variable / COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	11
61	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable GROUP BY variable ORDER BY COUNT(variable) DESC LIMIT variable	11
62	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	11
63	SELECT DISTINCT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	10
64	SELECT CAST(SUM(variable) AS variable) / COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	10
65	SELECT CAST(SUM(CASE WHEN variable = variable THEN variable ELSE variable END) AS variable) * variable / COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable	10
66	SELECT COUNT(DISTINCT variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	10
67	SELECT DISTINCT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable AND variable = variable	10
68	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable ORDER BY variable DESC LIMIT variable	10
69	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable ORDER BY variable ASC LIMIT variable	10
70	SELECT COUNT(variable) FROM variable	9
71	SELECT COUNT(variable) FROM variable WHERE variable < variable	9
72	SELECT COUNT(variable) FROM variable WHERE variable > variable	9
73	SELECT variable FROM variable AS variable INNER JOIN `variable-variable` AS variable ON variable = variable WHERE variable = variable	9
74	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable > variable	9
75	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable;	9
76	SELECT SUM(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	9
77	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable GROUP BY variable	9
78	SELECT variable, variable FROM variable ORDER BY variable DESC LIMIT variable	8
79	SELECT variable FROM variable AS variable INNER JOIN `variable-variable` AS variable ON variable = variable WHERE variable = variable GROUP BY variable	8
80	SELECT variable FROM variable WHERE variable = variable LIMIT variable	8
81	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable GROUP BY variable ORDER BY SUM(variable) DESC LIMIT variable	8
82	SELECT COUNT(*) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	8
83	SELECT COUNT(DISTINCT variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable AND variable = variable	8
84	SELECT variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable GROUP BY variable, variable	8
85	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable AND variable = variable AND variable = variable	8
86	SELECT variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable ORDER BY variable DESC LIMIT variable	8
87	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable ORDER BY variable DESC LIMIT variable	8
88	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable GROUP BY variable ORDER BY COUNT(variable) DESC LIMIT variable	8
89	SELECT variable FROM variable ORDER BY variable ASC LIMIT variable	7
90	SELECT CAST(variable * variable AS variable) / variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	7
91	SELECT COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable < variable	7
92	SELECT CAST(SUM(CASE WHEN variable = variable THEN variable ELSE variable END) AS variable) * variable / COUNT(variable) FROM variable WHERE variable = variable	7
93	SELECT CAST(SUM(variable(variable = variable, variable, variable)) AS variable) * variable / COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable	7
94	SELECT MIN(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	7
95	SELECT variable FROM variable WHERE variable = variable GROUP BY variable ORDER BY COUNT(variable) DESC LIMIT variable	7
96	SELECT COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	7
97	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable AND variable = variable WHERE variable = variable AND variable = variable	7
98	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable ORDER BY variable LIMIT variable	7
99	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable ORDER BY variable LIMIT variable	7
100	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable ORDER BY variable DESC LIMIT variable	7
101	SELECT COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable AND variable = variable AND variable = variable	7
102	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable GROUP BY variable ORDER BY SUM(variable) DESC LIMIT variable	7
103	SELECT COUNT(*) FROM variable WHERE variable LIKE variable	6
104	SELECT COUNT(variable) FROM variable WHERE variable LIKE variable AND variable LIKE variable	6
105	SELECT variable FROM variable WHERE variable = ( SELECT MIN(variable) FROM variable )	6
106	SELECT variable, variable FROM variable WHERE variable = ( SELECT MAX(variable) FROM variable )	6
107	SELECT COUNT(*) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND STRFTIME(variable, variable) = variable	6
108	SELECT variable FROM variable WHERE variable = variable GROUP BY variable	6
109	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable ORDER BY variable LIMIT variable	6
110	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable.`DATE` = variable AND variable = variable	6
111	SELECT COUNT(variable) FROM variable WHERE variable > variable AND variable = variable	6
112	SELECT variable, variable, variable FROM variable WHERE variable = variable	6
113	SELECT variable, variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable ORDER BY variable DESC LIMIT variable	6
114	SELECT variable FROM ( SELECT variable, COUNT(variable) AS variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable GROUP BY variable ) AS variable ORDER BY variable DESC LIMIT variable	6
115	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	6
116	SELECT COUNT(*) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable AND variable = variable	6
117	SELECT COUNT(*) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	6
118	SELECT COUNT(*) FROM variable WHERE variable = variable AND variable = variable	6
119	SELECT COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable AND variable = variable	6
120	SELECT COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable LIKE variable AND variable = variable	6
121	SELECT COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable > variable AND variable = variable	6
122	SELECT SUM(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	6
123	SELECT variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable > variable	6
124	SELECT variable, variable, variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	6
125	SELECT CAST(COUNT(variable) AS variable) / COUNT(DISTINCT variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	6
126	SELECT DISTINCT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable AND variable = variable	6
127	SELECT DISTINCT variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	6
128	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable LIKE variable	6
129	SELECT variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable AND variable = variable	6
130	SELECT variable, variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	6
131	SELECT variable FROM variable WHERE variable < variable	5
132	SELECT variable FROM variable WHERE variable = ( SELECT variable FROM variable ORDER BY variable DESC LIMIT variable )	5
133	SELECT variable, variable FROM variable WHERE variable LIKE variable	5
134	SELECT variable FROM ( SELECT DISTINCT CASE WHEN variable = variable THEN variable ELSE NULL END AS variable FROM variable ) WHERE variable IS NOT NULL	5
135	SELECT DISTINCT variable FROM variable WHERE variable = variable AND variable = variable	5
136	SELECT MAX(variable) FROM variable	5
137	SELECT variable FROM variable WHERE variable = ( SELECT variable FROM variable WHERE variable = variable )	5
138	SELECT variable FROM variable WHERE variable IN ( SELECT variable FROM variable WHERE variable = variable )	5
139	SELECT COUNT(DISTINCT variable) FROM variable WHERE variable = variable	5
140	SELECT COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable	5
141	SELECT COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable LIKE variable	5
142	SELECT DISTINCT variable.`variable variable` FROM variable AS variable INNER JOIN variable AS variable ON variable.`variable variable` = variable.`variable variable` INNER JOIN variable AS variable ON variable.`variable variable` = variable.`variable variable` WHERE variable.`variable variable` = variable	5
143	SELECT MAX(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	5
144	SELECT MIN(variable) FROM variable WHERE variable = variable	5
145	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable LIMIT variable	5
146	SELECT AVG(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	5
147	SELECT CAST(SUM(CASE WHEN variable = variable THEN variable ELSE variable END) AS variable) * variable / COUNT(variable) FROM variable	5
148	SELECT SUM(CASE WHEN variable = variable THEN variable ELSE variable END) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	5
149	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = ( SELECT variable FROM variable ORDER BY variable DESC LIMIT variable )	5
150	SELECT variable, variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable ORDER BY variable DESC LIMIT variable	5
151	SELECT variable FROM ( SELECT variable, COUNT(variable) AS variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable GROUP BY variable ) AS variable ORDER BY variable DESC LIMIT variable	5
152	SELECT CAST(COUNT(CASE WHEN variable = variable THEN variable ELSE NULL END) AS variable) * variable / COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	5
153	SELECT CAST(SUM(CASE WHEN variable = variable THEN variable ELSE variable END) AS variable) * variable / COUNT(*) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	5
154	SELECT COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND STRFTIME(variable, variable) = variable	5
155	SELECT COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable LIKE variable	5
156	SELECT DISTINCT variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	5
157	SELECT variable, variable, variable FROM variable WHERE variable = variable AND variable = variable	5
158	SELECT variable FROM `variable-variable` AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	5
159	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable GROUP BY variable	5
160	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable ORDER BY variable LIMIT variable	5
161	SELECT variable, variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	5
162	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable GROUP BY variable HAVING COUNT(variable) > variable	5
163	SELECT variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	5
164	SELECT COUNT(variable) FROM variable GROUP BY variable ORDER BY COUNT(variable) DESC LIMIT variable	4
165	SELECT COUNT(variable) FROM variable WHERE variable = ( SELECT variable FROM variable ORDER BY variable DESC LIMIT variable )	4
166	SELECT COUNT(variable) FROM variable WHERE variable = variable AND variable < variable	4
167	SELECT COUNT(variable) FROM variable WHERE variable = variable;	4
168	SELECT DISTINCT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable;	4
169	SELECT DISTINCT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable LIKE variable	4
170	SELECT variable FROM variable ORDER BY variable LIMIT variable	4
171	SELECT variable FROM variable WHERE variable > variable	4
172	SELECT AVG(variable) FROM variable	4
173	SELECT AVG(variable) FROM variable WHERE variable = variable	4
174	SELECT CAST(COUNT(CASE WHEN variable = variable THEN variable ELSE NULL END) AS variable) * variable / COUNT(variable) FROM variable	4
175	SELECT COUNT(DISTINCT variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	4
176	SELECT COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable BETWEEN variable AND variable AND variable = variable	4
177	SELECT variable, variable FROM variable WHERE variable = variable AND variable = variable	4
178	SELECT variable FROM variable AS variable WHERE variable = variable	4
179	SELECT variable, variable FROM ( SELECT variable, variable, COUNT(variable) AS variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable GROUP BY variable, variable ) AS variable ORDER BY variable DESC LIMIT variable	4
180	SELECT AVG(variable) FROM variable WHERE variable BETWEEN variable AND variable	4
181	SELECT CAST(SUM(CASE WHEN variable = variable THEN variable ELSE variable END) AS variable) * variable / COUNT(*) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable	4
182	SELECT CAST(SUM(variable(variable = variable, variable, variable)) AS variable) * variable / COUNT(variable) FROM variable	4
183	SELECT CAST(SUM(variable) AS variable) / COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	4
184	SELECT COUNT(variable) FROM variable WHERE variable = variable AND variable IS NULL	4
185	SELECT COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable LIKE variable AND variable = variable	4
186	SELECT SUM(CASE WHEN variable = variable THEN variable ELSE variable END) - SUM(CASE WHEN variable = variable THEN variable ELSE variable END) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable	4
187	SELECT SUM(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	4
188	SELECT variable FROM variable WHERE variable = variable AND variable = variable AND variable = variable	4
189	SELECT variable FROM variable WHERE variable = variable;	4
190	SELECT variable FROM variable WHERE variable = variable AND variable = variable ORDER BY variable DESC LIMIT variable	4
191	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable > variable ORDER BY variable DESC LIMIT variable	4
192	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable.`variable variable` = variable	4
193	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable LIMIT variable	4
194	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable LIKE variable GROUP BY variable ORDER BY COUNT(variable) DESC LIMIT variable	4
195	SELECT COUNT(*) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable AND variable = variable	4
196	SELECT SUM(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable AND variable = variable	4
197	SELECT variable / variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	4
198	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable > variable	4
199	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable ORDER BY variable ASC LIMIT variable	4
200	SELECT variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable ORDER BY variable DESC LIMIT variable	4
201	SELECT variable, variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable;	4
202	SELECT variable, variable, variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	4
203	SELECT variable * variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable AND variable = variable	4
204	SELECT CAST(COUNT(CASE WHEN variable = variable THEN variable ELSE NULL END) AS variable) * variable / COUNT(variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable	3
205	SELECT CAST(SUM(CASE WHEN variable = variable THEN variable ELSE variable END) - SUM(CASE WHEN variable = variable THEN variable ELSE variable END) AS variable) * variable / SUM(CASE WHEN variable = variable THEN variable ELSE variable END) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable	3
206	SELECT COUNT(variable) AS variable FROM variable WHERE variable = variable	3
207	SELECT COUNT(variable) AS variable FROM variable WHERE variable > variable	3
208	SELECT COUNT(variable) FROM variable WHERE variable = ( SELECT variable FROM variable WHERE variable = variable )	3
209	SELECT COUNT(variable) FROM variable WHERE variable = variable AND variable LIKE variable	3
210	SELECT COUNT(variable) FROM variable WHERE variable LIKE variable AND variable > variable	3
211	SELECT COUNT(variable) FROM variable WHERE variable NOT IN ( SELECT variable FROM variable )	3
212	SELECT DISTINCT variable FROM variable AS variable WHERE variable = variable	3
213	SELECT DISTINCT variable FROM variable AS variable INNER JOIN `variable` AS variable ON variable = variable WHERE variable = variable AND variable = variable	3
214	SELECT SUM(variable) FROM variable WHERE variable LIKE variable	3
215	SELECT variable - variable FROM variable WHERE variable = variable	3
216	SELECT variable FROM `variable-variable` WHERE variable = variable	3
217	SELECT variable FROM variable GROUP BY variable HAVING COUNT(variable) > variable	3
218	SELECT variable FROM variable ORDER BY variable DESC LIMIT variable;	3
219	SELECT variable FROM variable WHERE variable BETWEEN variable AND variable	3
220	SELECT variable, variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable GROUP BY variable, variable ORDER BY COUNT(*) DESC LIMIT variable	3
221	SELECT variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable AND variable = variable WHERE variable = variable	3
222	SELECT variable FROM ( SELECT variable, COUNT(DISTINCT variable) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable GROUP BY variable ORDER BY COUNT(DISTINCT variable) DESC LIMIT variable ) variable	3
223	SELECT AVG(variable), variable FROM variable AS variable INNER JOIN variable AS variable ON variable = variable WHERE variable = variable	3
224	SELECT CAST(SUM(CASE WHEN variable = variable THEN variable ELSE variable END) AS variable) * variable / COUNT(*) FROM variable WHERE variable = variable	3
225	SELECT CAST(SUM(CASE WHEN variable = variable THEN variable ELSE variable END) AS variable) / SUM(CASE WHEN variable = variable THEN variable ELSE variable END) FROM variable AS variable INNER JOIN variable AS variable ON variable = variable	3
